player_id,name,role,dimension,third,contribution
4814,A. Aguilar,Midfielder,progression,attacking,0.1
4814,A. Aguilar,Midfielder,progression,middle,3.1
4814,A. Aguilar,Midfielder,recovery,attacking,-0.5
4814,A. Aguilar,Midfielder,retention,attacking,-1.8
4814,A. Aguilar,Midfielder,retention,middle,-1.4
131602,A. Arroyo,Forward,progression,attacking,-0.4
131602,A. Arroyo,Forward,recovery,defensive,2.0
131602,A. Arroyo,Forward,retention,attacking,-1.0
131602,A. Arroyo,Forward,retention,defensive,-0.5
131602,A. Arroyo,Forward,retention,middle,0.1
28094,A. Badri,Forward,chance_creation,attacking,3.0
28094,A. Badri,Forward,defensive_disruption,middle,3.0
28094,A. Badri,Forward,finishing,attacking,4.0
28094,A. Badri,Forward,progression,attacking,13.0
28094,A. Badri,Forward,progression,defensive,0.9
28094,A. Badri,Forward,progression,middle,22.1
28094,A. Badri,Forward,recovery,attacking,15.0
28094,A. Badri,Forward,recovery,defensive,6.5
28094,A. Badri,Forward,recovery,middle,7.0
28094,A. Badri,Forward,retention,attacking,-0.7
28094,A. Badri,Forward,retention,defensive,-0.5
28094,A. Badri,Forward,retention,middle,-3.4
28094,A. Badri,Forward,transition,middle,4.0
61651,A. Behich,Defender,chance_creation,attacking,9.0
61651,A. Behich,Defender,defensive_disruption,defensive,3.0
61651,A. Behich,Defender,finishing,attacking,-0.3
61651,A. Behich,Defender,goal_protection,defensive,2.0
61651,A. Behich,Defender,progression,attacking,18.4
61651,A. Behich,Defender,progression,defensive,3.9
61651,A. Behich,Defender,progression,middle,29.8
61651,A. Behich,Defender,recovery,attacking,2.5
61651,A. Behich,Defender,recovery,defensive,18.5
61651,A. Behich,Defender,recovery,middle,15.5
61651,A. Behich,Defender,retention,attacking,-9.0
61651,A. Behich,Defender,retention,defensive,-3.9
61651,A. Behich,Defender,retention,middle,-6.3
61651,A. Behich,Defender,transition,defensive,2.0
61651,A. Behich,Defender,transition,middle,2.0
238031,A. Beiranvand,Goalkeeper,goal_protection,attacking,14.0
238031,A. Beiranvand,Goalkeeper,goal_protection,defensive,31.0
238031,A. Beiranvand,Goalkeeper,progression,defensive,9.4
238031,A. Beiranvand,Goalkeeper,retention,defensive,-5.2
238031,A. Beiranvand,Goalkeeper,transition,defensive,9.0
15727,A. Bouhaddouz,Forward,defensive_disruption,defensive,1.5
15727,A. Bouhaddouz,Forward,goal_protection,defensive,1.0
15727,A. Bouhaddouz,Forward,recovery,defensive,3.0
15727,A. Bouhaddouz,Forward,retention,attacking,0.1
15727,A. Bouhaddouz,Forward,retention,middle,0.1
70156,A. Carrillo,Midfielder,chance_creation,attacking,28.5
70156,A. Carrillo,Midfielder,finishing,attacking,9.7
70156,A. Carrillo,Midfielder,progression,attacking,30.7
70156,A. Carrillo,Midfielder,progression,defensive,1.1
70156,A. Carrillo,Midfielder,progression,middle,25.2
70156,A. Carrillo,Midfielder,recovery,attacking,1.0
70156,A. Carrillo,Midfielder,recovery,defensive,2.0
70156,A. Carrillo,Midfielder,recovery,middle,14.5
70156,A. Carrillo,Midfielder,retention,attacking,-13.6
70156,A. Carrillo,Midfielder,retention,defensive,-1.1
70156,A. Carrillo,Midfielder,retention,middle,-1.7
70156,A. Carrillo,Midfielder,transition,defensive,2.0
70156,A. Carrillo,Midfielder,transition,middle,2.0
135103,A. Christensen,Defender,defensive_disruption,defensive,20.5
135103,A. Christensen,Defender,defensive_disruption,middle,1.5
135103,A. Christensen,Defender,goal_protection,defensive,10.0
135103,A. Christensen,Defender,progression,attacking,0.4
135103,A. Christensen,Defender,progression,defensive,5.9
135103,A. Christensen,Defender,progression,middle,38.7
135103,A. Christensen,Defender,recovery,defensive,66.0
135103,A. Christensen,Defender,recovery,middle,11.5
135103,A. Christensen,Defender,retention,attacking,-1.6
135103,A. Christensen,Defender,retention,defensive,0.2
135103,A. Christensen,Defender,retention,middle,6.4
86411,A. Cooper,Midfielder,chance_creation,attacking,5.5
86411,A. Cooper,Midfielder,finishing,attacking,-0.3
86411,A. Cooper,Midfielder,progression,attacking,11.3
86411,A. Cooper,Midfielder,progression,defensive,0.4
86411,A. Cooper,Midfielder,progression,middle,53.7
86411,A. Cooper,Midfielder,recovery,attacking,5.0
86411,A. Cooper,Midfielder,recovery,defensive,6.5
86411,A. Cooper,Midfielder,recovery,middle,7.0
86411,A. Cooper,Midfielder,retention,attacking,-3.6
86411,A. Cooper,Midfielder,retention,defensive,-1.4
86411,A. Cooper,Midfielder,retention,middle,-0.4
86411,A. Cooper,Midfielder,transition,attacking,2.0
86411,A. Cooper,Midfielder,transition,middle,6.0
135150,A. Cornelius,Forward,chance_creation,attacking,4.0
135150,A. Cornelius,Forward,defensive_disruption,defensive,1.5
135150,A. Cornelius,Forward,finishing,attacking,2.0
135150,A. Cornelius,Forward,goal_protection,defensive,1.0
135150,A. Cornelius,Forward,progression,attacking,11.3
135150,A. Cornelius,Forward,progression,middle,0.7
135150,A. Cornelius,Forward,recovery,attacking,1.5
135150,A. Cornelius,Forward,recovery,defensive,3.0
135150,A. Cornelius,Forward,recovery,middle,7.5
135150,A. Cornelius,Forward,retention,attacking,-4.4
135150,A. Cornelius,Forward,retention,middle,-5.0
101590,A. Dzagoev,Midfielder,progression,middle,3.3
101590,A. Dzagoev,Midfielder,recovery,middle,2.5
101590,A. Dzagoev,Midfielder,retention,attacking,-3.6
101590,A. Dzagoev,Midfielder,retention,defensive,0.1
